ENCUESTA MENSUAL MANUFACTURERA;;;;;;;;;;
10. Series de índices enlazados  de la producción nominal y real,  ventas nominal y real  y empleo (total y por área funcional),  según clase industrial;;;;;;;;;;
Enero 2001  - noviembre 2021p;;;;;;;;;;
Base 2018=100;;;;;;;;;;
Fecha de publicación enero 14 de 2022;;;;;;;;;;
Fuente. DANE - EMMET;;;;;;;;;;
p: provisionales;;;;;;;;;;
a) agrupa los dominios 1030, 1082 y 1089 ;;;;;;;;;;
b) agrupa los dominios 1300 y 1400;;;;;;;;;;
c) No incluye la mezcla de combustibles;;;;;;;;;;
d) agrupa los dominios 2020, 2023 y 2100;;;;;;;;;;
e) agrupa los dominios 1050 y 1090;;;;;;;;;;
Nota: La diferencia entre el total y la suma de los dominios  se debe a aproximaciones decimales.;;;;;;;;;;
Nota: Se presentan cambios por actualización de información de parte de las fuentes informantes;;;;;;;;;;
;;;;;;;;;Personal según área funcional;
Dominios;AÑO;MES ;Clases industriales;"Producción 
nominal";"Producción 
real";"Ventas
nominal";"Ventas
reales";Empleo  Total;"Personal de 
Administración";"Personal de 
Producción"
1081;2001;1;Elaboración de productos de panadería, macarrones, fideos, y sus productos;29,6;70,5;28,5;67,7;96;86,9;101,6
1081;2001;2;Elaboración de productos de panadería, macarrones, fideos, y sus productos;30,4;71;29,5;68,9;98,9;91,4;103,5
1081;2001;3;Elaboración de productos de panadería, macarrones, fideos, y sus productos;33,4;77,6;33;76,7;98,3;91,7;102,3
1081;2001;4;Elaboración de productos de panadería, macarrones, fideos, y sus productos;33,1;75,8;32,9;75,3;98,1;91,4;101,9
1081;2001;5;Elaboración de productos de panadería, macarrones, fideos, y sus productos;35,3;80,6;34,1;77,9;100,4;94,6;103,7
1081;2001;6;Elaboración de productos de panadería, macarrones, fideos, y sus productos;33;74,9;32,5;73,7;99,8;93,3;103,7
1081;2001;7;Elaboración de productos de panadería, macarrones, fideos, y sus productos;33,4;76,6;33,2;76,2;99,5;94,5;102,3
1081;2001;8;Elaboración de productos de panadería, macarrones, fideos, y sus productos;32,4;74;36,6;83,6;99,5;93,9;102,7
1081;2001;9;Elaboración de productos de panadería, macarrones, fideos, y sus productos;32,7;74,4;32,6;74;96,1;94,1;97,3
1081;2001;10;Elaboración de productos de panadería, macarrones, fideos, y sus productos;34,6;78,5;37,3;84,7;94,5;92;96,2
1081;2001;11;Elaboración de productos de panadería, macarrones, fideos, y sus productos;33,6;76,4;34,2;77,8;94,5;96,5;93,5
1081;2001;12;Elaboración de productos de panadería, macarrones, fideos, y sus productos;31,4;70,7;32,9;74,1;93,4;95,8;92,4
1081;2002;1;Elaboración de productos de panadería, macarrones, fideos, y sus productos;30,5;67,5;28,9;63,9;93,7;93,8;93,4
1081;2002;2;Elaboración de productos de panadería, macarrones, fideos, y sus productos;30,8;67,8;29,9;65,8;92,8;90,8;93,9
1081;2002;3;Elaboración de productos de panadería, macarrones, fideos, y sus productos;31,1;68,1;31,4;68,9;92,7;88,9;94,8
1081;2002;4;Elaboración de productos de panadería, macarrones, fideos, y sus productos;34,1;74,2;34,3;74,7;90,7;84,4;94,2
1081;2002;5;Elaboración de productos de panadería, macarrones, fideos, y sus productos;34,1;73,9;33,8;73,3;92,6;87;95,8
1081;2002;6;Elaboración de productos de panadería, macarrones, fideos, y sus productos;32,3;70;32,3;70;90,8;85,5;94
1081;2002;7;Elaboración de productos de panadería, macarrones, fideos, y sus productos;33,9;74,5;34,7;76,2;92,2;84,5;96,9
1081;2002;8;Elaboración de productos de panadería, macarrones, fideos, y sus productos;34,1;73,5;32,9;70,9;93,5;86,1;98,1
1081;2002;9;Elaboración de productos de panadería, macarrones, fideos, y sus productos;35,6;74,8;36,6;77;90,7;87,2;92,9
1081;2002;10;Elaboración de productos de panadería, macarrones, fideos, y sus productos;40,5;84;39,6;82,6;90,4;86,8;92,8
1081;2002;11;Elaboración de productos de panadería, macarrones, fideos, y sus productos;36,2;75,4;39;81,2;91,5;91,6;91,5
1081;2002;12;Elaboración de productos de panadería, macarrones, fideos, y sus productos;34,1;70,7;35;72,7;90,6;90,4;91,2
1081;2003;1;Elaboración de productos de panadería, macarrones, fideos, y sus productos;32,9;66,8;30,4;61,7;88,7;85,2;90,6
1081;2003;2;Elaboración de productos de panadería, macarrones, fideos, y sus productos;34,4;68,3;33;65,6;88,5;87,1;89,2
1081;2003;3;Elaboración de productos de panadería, macarrones, fideos, y sus productos;37,1;73,8;36,6;72,7;88,7;87,3;89,3
1081;2003;4;Elaboración de productos de panadería, macarrones, fideos, y sus productos;36,7;72,4;36;70,9;88,1;87,2;88,1
1081;2003;5;Elaboración de productos de panadería, macarrones, fideos, y sus productos;39,6;78,2;39,3;77,5;89,1;88,6;89,1
1081;2003;6;Elaboración de productos de panadería, macarrones, fideos, y sus productos;36,8;71,6;35,5;69,1;91,2;88,5;92,7
